tokenised_cif,account_number,link_type
dd239468-973f-413d-869f-125f576abd0a,50-0446-1189229-09,Child
99c29f13-60a2-472b-ab6e-e2b09696338b,71-7445-1467261-95,Owner
66e778c7-c1e8-4646-b0cd-e16d7cfd70c3,11-7990-8108821-60,Child
80164088-57d1-4687-a755-c4bd9b60e222,72-2000-5423197-21,Child
50466bf0-8680-4349-a271-948528ee61c0,91-3449-7212046-97,Child
21005b6e-804a-486b-87a4-cd52e2f1c7c7,31-2455-0154372-36,Child
80c5cbaf-fbb5-4f11-b81b-0029ccc8887a,23-7652-3761011-83,Child
b0011c7f-a9c7-404b-9619-3bc402e6b5e8,86-3470-7682085-72,Child
812723ad-4880-4ce0-9fc8-dbde76715fdc,07-4233-1229362-43,Child
020592aa-cfa1-41ad-be22-d636a6c1f7e5,37-3377-8228540-48,Child
2dc06b6e-152f-4282-91a6-1c3b14696acc,68-0300-8905961-69,Child
de7555e4-1b78-4990-b28a-fd7aabfcdc16,07-9476-0198185-79,Owner
d262f671-9e26-42aa-b5ab-202944758721,44-4231-4090150-94,Child
44176121-1626-4429-9f15-6e2ff1973b1b,11-7692-6455460-99,Owner
9d23a926-b367-4c56-bab1-7b2f1d73fe8f,61-3449-2390404-47,Child
4199b0b4-ac5f-4c0e-b2f1-6c153c98c36a,81-3696-4846596-14,Owner
4fd96f2d-1dd5-4890-b96a-39c58d4e1a3a,45-6320-9289269-11,Child
b9fb7e7e-6a44-42f2-add5-1e221092c386,88-0889-4372123-16,Child
290c51ce-51a3-49e8-9681-d234925da1cc,80-9086-8530604-35,Owner
b62047b3-aede-4964-925a-8816ea3d88ec,74-2366-8920032-89,Owner
4d8856ac-9838-4944-a50b-75db93fc1505,72-5891-0781469-82,Owner
2b3fa068-1a38-4e32-a233-8f9b1e857abb,29-8141-0840349-05,Owner
9f8992a5-a754-4145-a123-76d04b3d6921,11-7272-0958318-26,Owner
e52716d5-9ce4-4d6f-a932-5ee31f5cf54a,77-6542-4685865-63,Child
7ab2113b-3b18-492c-b4d0-14541c552205,03-2590-2750774-48,Owner
38a6f6bf-b84f-4823-99d4-3889d40d2278,66-5320-1535606-82,Owner
b75fd23f-3be5-47ed-aa4f-81b95a5d4d49,73-2840-8390929-75,Child
7bd4a14c-6c00-4dc4-9cb7-70bd0332174e,16-9948-3206630-20,Owner
1771a66d-0595-4278-a811-7a5ea1e17bf4,07-9476-0198185-79,Owner
32af19ca-1acc-4fe5-8b45-1692d64fa871,07-0995-7756542-74,Owner
2ca606f9-0846-4928-9855-bc9273565acf,85-0575-5994689-20,Child
a0979698-0709-4bd4-979f-94ee35ba2ee8,81-2993-1752560-86,Owner
b1ab1e39-ba19-4a8f-ae4b-c07075fed05e,52-8909-0142888-23,Owner
5e276bc5-2712-4931-a84d-6e1506515648,18-6932-7307215-32,Child
90cf712e-8db9-4226-9453-62fe78126c39,80-8727-0138346-88,Child
3dda1672-33a4-4030-9837-16ae24dc527c,11-6573-3916763-69,Child
6a6576f3-fdde-4034-b67b-41ec99937edc,51-7673-1823644-35,Owner
70656708-94cd-40af-abcb-15b0cbf59759,51-5806-2919773-58,Child
79733452-541b-4dea-9d44-0102a28cf2d1,44-4231-4090150-94,Owner
5d8f1414-3b42-44bd-b376-5b4e5dc14dee,12-1442-4361551-73,Child
a1cfecce-3b20-4baa-995e-9fbc690811df,60-2995-4359176-21,Owner
0e6e6d6c-6195-4bee-aeb5-1dbeb2040537,86-5800-1310265-34,Child
97015486-1041-41d9-b65d-39b8a26470f8,90-4987-2047521-92,Child
1558ea03-f1fc-460a-ac31-a7cebd5bc20b,84-0582-2027183-68,Child
7387fd30-9322-4242-97aa-b42f673dceff,68-6894-6363208-27,Owner
2096f3fe-a236-48a3-8328-608ef719ceda,12-9765-1130251-52,Child
d4f608ce-ef3b-4d01-85a1-d9afb4ac9e49,62-1073-3859528-00,Child
db32f9ad-2959-4384-88fe-29229d74bdd6,21-5900-0807941-11,Owner
e16ff934-aad3-4943-ab33-bdfad59bebf2,52-3921-0106213-12,Child
302db75e-e20e-4c7f-a793-636747e4e0a6,47-6144-1221440-39,Owner
580a1e94-f93b-4349-a479-dc03a6af3f89,23-7652-3761011-83,Child
ad0acc41-b0d6-482f-bf4b-1265ae7d9b28,35-0639-2361536-22,Owner
54307b5a-ed0c-4c9b-b42f-91e4ed5620ca,13-4341-3702536-06,Owner
60b12603-772d-43d7-98ed-ea6dbb2903e5,48-8257-8512654-20,Owner
d7aeb9a3-aa0c-4494-b43f-72598a2e043f,86-5800-1310265-34,Child
4470bad8-970f-4e3a-b71e-4792032b75b2,73-3618-4817562-26,Owner
b319d5ef-bec8-4c8f-b9c7-e38b3cd040df,21-8980-6411860-57,Child
945af449-f964-4f88-9472-81f0e2f2a42a,93-6235-8274419-75,Owner
f1de931f-f32c-43cb-b7fe-bd48699dd49f,75-3278-4751407-75,Owner
0b1964cf-bf81-4a2c-86f7-49af1fe390c5,51-5806-2919773-58,Owner
1b3f98f7-8e1e-40e3-9878-942f1b57e4f9,50-4239-8994038-48,Child
3a440618-3b13-4adc-b9e4-86d04ad41d67,33-1545-0623120-12,Child
63a751b1-8804-49d7-a73b-fcf30e0afced,64-3656-5389111-76,Owner
e6ad455d-3f29-4e3e-88eb-f2a650ff7ceb,08-4852-4196182-57,Owner
1ef0249e-3a4b-4dbb-8073-40bed7850120,79-2690-2490079-39,Owner
1814f6fe-12a1-4191-b8a5-0b8edee195dc,26-5210-3340590-14,Child
ca3f1315-7fef-406b-97f8-978940692de8,15-7468-9194453-54,Owner
dfb6ee83-2637-4055-854b-f13135976af7,69-4791-9612681-67,Child
8beed9c9-0018-4f0a-bcb5-90357eeb1109,83-6422-5144155-22,Owner
3d2a64b4-f097-4031-9a72-5a87017c983d,50-3200-9722129-93,Child
e637c13b-e237-44cc-91b1-3c96ba57bb5b,34-3256-2564123-81,Owner
c3e36f9b-c46a-476a-a864-a07d65f4a6f7,05-3648-5682576-61,Child
996228be-bcc2-4243-a05f-06a6d887c593,24-3764-8390835-12,Child
8b46410c-928e-4cbe-8fc4-c031171b04e7,53-8665-8484862-84,Child
baae4568-5de8-48c1-92a7-c9ad21c75f3a,83-6422-5144155-22,Child
d6dd963b-3081-4c24-9055-6a6c81e69e4c,48-8257-8512654-20,Child
50187258-1010-495b-8536-c8b90bede688,50-5253-8271786-64,Owner
a88b2486-e8d0-4ad3-bcd9-d7bd11a990f2,72-2000-5423197-21,Owner
c6c9de93-1bed-4411-a9d8-a15abc4dd069,74-2366-8920032-89,Owner
afa0da3e-4959-4092-9d5c-963622d86daa,62-6237-3609956-47,Owner
418cb9de-b3f4-4172-8d2d-3a0784b6197d,97-3596-3014823-53,Child
61c34dd3-49f9-4a71-89cb-db2e27272b20,88-3466-1099151-36,Child
e761ada9-d9fd-46c5-b20c-621463e0cef9,72-5891-0781469-82,Child
aaa448ea-e30c-4896-b262-4bf1fdc6e5d8,00-1671-1412744-64,Child
33278901-d60c-4c66-ac71-8be3372eb3ae,05-4794-0856315-03,Owner
6cd2fc34-630b-4acb-9814-6dfe77a74459,28-6768-4654511-14,Owner
729e739d-6491-4b07-abe1-cb6e9736509a,79-9751-5251169-12,Child
bdb78050-e6ae-4c7a-a4b4-0c41ded11a37,67-1319-0303995-50,Owner
2ccfe68d-d878-4eaf-87b2-b70f585cf9ce,59-9933-6952232-48,Child
f2e41b3b-1f58-431c-8653-9f642d4018a1,37-3377-8228540-48,Child
f8d4cc82-de46-4291-a845-8e3879cfe2d7,37-5226-1123458-34,Owner
7312fd80-3a65-461c-8fd5-eec6268f695b,09-6417-1872051-13,Owner
0cdf1e6a-06fc-4163-b2b6-69fa3edefa0b,43-9313-8580825-14,Owner
eb759c16-d288-41cc-b9a6-51e5e59834c5,98-9125-0164809-11,Child
167700b8-3bda-4f8e-8eac-f1d360ebbe57,91-0151-6971408-55,Child
ba3e64a8-7b51-4045-9773-cf6f34316efa,90-4617-2014538-96,Owner
c4457b56-d956-4b13-98ed-5b5cf06fc9d8,86-5452-4044824-89,Owner
a9e2e4db-1ca0-449c-9ca8-9ea1ffef3f8a,46-9416-1685142-31,Child
95d7f1b0-595e-41c8-b58d-b8a5a3cc5729,16-5972-5563642-24,Child
0ef96223-66b5-4568-a680-69fd0437116c,70-5804-6746062-24,Child
ea798be2-205e-48d8-bca3-eb66e23c1e43,39-7170-8672606-65,Child
aab9c0ff-edfc-4b51-bf65-12d9ca840cda,26-5210-3340590-14,Owner
87255548-dfaf-4eec-8b76-51fe60237b98,05-7511-7961452-46,Owner
8fbfe512-5dc1-4648-9636-7fea3f1ffc9f,84-0582-2027183-68,Child
92927b26-967e-4892-96fb-9cd36c65548b,64-8151-1012614-83,Owner
0b95d775-16e3-4907-87ed-4cadf319b7c3,03-7865-0220382-41,Owner
63a0c9c8-9168-4b3c-b2d2-7ef483315aeb,50-5686-4593809-77,Child
8d5fd0f3-5c56-4ffc-a0e1-6fb9b89a6ff0,00-0807-0314761-97,Child
dbc016a6-8831-4256-b4b2-9e10abd7393c,08-4852-4196182-57,Owner
432a2d48-f4f7-4957-a41e-05897690f4eb,97-3596-3014823-53,Child
1b4457ab-71a5-46ea-a68a-f4bde5a98813,73-0705-7515897-68,Owner
0d150fdf-1613-403d-92b4-df4790189773,80-7793-3512601-78,Child
da9d9dfb-2e4a-46fd-8b60-b7130381ba58,85-6767-8328463-58,Child
4762fc57-13be-4803-95bf-69a0f1061b17,24-3764-8390835-12,Child
a790f189-1284-49cc-a1d0-c0b971b39083,47-2519-3000094-66,Child
c4bffd5d-d88e-4e69-b36c-d0e2fc64e990,29-9370-2310354-50,Child
304ff404-92e9-490e-910e-c94650252f5a,86-9020-9247355-73,Owner
a39cbae9-4598-4bc2-8a1b-cf1eec0cce16,16-9948-3206630-20,Child
fffb925d-0100-435e-bc1b-09286dc52479,59-8579-2520532-81,Child
4aa53f85-e0e8-4022-84bf-3083a4eb8129,50-6509-0669489-74,Child
4739aa81-2fa7-4de0-9fe4-027f11f3ae3b,85-6767-8328463-58,Child
66894a70-6a9f-4799-995d-d7f43392ae2f,50-0446-1189229-09,Owner
802e3644-fae2-4405-b1da-b50e5339bd81,27-5014-7320426-42,Owner
093e698b-5480-4dae-96e0-1e8c3887434c,38-3842-9529327-17,Owner
4b74dfdc-44a6-4e75-85d8-0ec600021858,73-0705-7515897-68,Child
a4ca40cb-959a-4d60-8dc5-4b91f7094fe8,12-8087-8789909-25,Child
85f1644f-94dd-4f8b-9fd8-9387845518ab,53-2291-1892772-62,Child
93217ebe-0057-4efa-b139-fd7c74884999,77-6542-4685865-63,Owner
d73a8d08-38d7-488f-88ae-3957d0cd6df5,36-1887-1873097-24,Owner
3816a513-c067-4a79-8289-b2d6102cef42,64-3656-5389111-76,Owner
d4585fcd-0fcb-4a62-80bc-1f7ca81150a1,22-1019-8803604-11,Child
895c2795-be8d-48f1-aa1c-6a262a6efa20,36-5600-1816007-36,Owner
6193833d-53da-4c7b-92a4-22266ea4bb9b,43-3929-6876548-46,Child
a91e777b-4680-40ee-a34d-0062e787d559,78-8444-8470446-30,Owner
88ce7bdb-afa6-4728-b6f8-7f62efd91304,38-1838-1486759-43,Owner
ff0511b2-66fe-4061-b8e2-ab877da36be9,94-8121-8549021-82,Owner
96783529-f02a-467e-a119-fd83ab7c8446,25-9338-9489979-79,Child
e91aed00-f0f0-48ae-aca8-bd5cd62d042b,03-2590-2750774-48,Owner
11b0292b-27fb-4b01-9449-213d261abfc1,91-5681-4862118-87,Owner
7ff497fb-9aa3-4be6-987f-83edfcf14e61,11-6573-3916763-69,Owner
9412a64d-c314-4316-af41-b0b244686a20,11-7272-0958318-26,Child
6550e233-7291-42e0-8c8b-067207b8b476,24-2448-0771214-48,Child
c0b3048f-455a-4434-9336-05da68a74f2f,38-1838-1486759-43,Child
b98a903a-64c8-4eac-8e48-17fca632b64c,44-8545-8132661-33,Child
c31f01b5-06c5-4517-a6fd-131762bb54ad,22-1019-8803604-11,Child
d384c6d8-f42d-4abf-ac25-af76bd0c9a5d,36-1887-1873097-24,Child
2e15f884-a400-4c27-bf04-1dc947f998e1,80-8727-0138346-88,Child
5366d36c-e131-4020-adbe-df5d6abe760c,61-3608-1504268-80,Owner
d0f220bd-5fef-490d-accc-4ab95ac6f5eb,54-9809-7532850-10,Child
73e97d1e-3bdd-41af-b441-69d102d6930d,08-8080-8118300-56,Child
605bd7db-0c66-4d42-8d12-bd9aa6351c7f,33-1545-0623120-12,Owner
26cec01c-117f-47e5-b01a-247d149c0aee,46-4347-1710126-60,Child
aec83386-0581-475e-b1d4-2d31bc44d12b,81-2993-1752560-86,Owner
ddf000ab-8258-41a4-8bd1-8b20a5308616,51-5806-2919773-58,Child
cd7f0ffd-21f7-4c78-a0f6-c876c69fb304,31-2665-2056745-86,Child
9a794ed2-f438-4da2-8bbf-ef934ee6cd98,53-4613-5628718-91,Owner
fb078476-a82e-4646-8eb8-550fa3beacbc,43-9313-8580825-14,Owner
9d9bb9ba-a4ec-4974-8ddc-cb9532e889d3,79-9751-5251169-12,Child
1cf464a4-e58d-4dca-be86-cc58665697e6,21-8980-6411860-57,Owner
c7727566-7c56-4d86-b69d-683b163d7909,67-2929-8756203-33,Child
941410d6-1dbf-4a5d-902b-aaf74e80e8a3,36-1887-1873097-24,Owner
8d925d0d-6199-49df-b8da-ffba2b757394,22-1130-9998722-91,Owner
3778039a-d9ed-468d-a986-86b65a5014a9,53-7573-1984310-55,Child
c9c595dc-b928-412c-9667-a199478c239a,14-7949-9002287-85,Owner
8f62e18f-eb0c-4cbe-8646-39bd09f423db,03-2590-2750774-48,Owner
099e0d00-e213-48b0-afe6-3b6d70aa03a6,44-4231-4090150-94,Child
ff7139e7-9acd-4a35-8b35-552b35864500,13-3869-1300271-67,Owner
316aefb0-cd0f-4789-8f40-e9a11a2d6076,63-5327-1678960-57,Child
0dc8e17f-df4a-48bd-8ce1-5baee537e146,54-6593-9083033-79,Owner
31eb4af2-2619-4939-9463-fa1c07385348,79-6058-5002023-40,Owner
dd28eba6-75c3-42a3-a69a-8fe3ca54b60e,44-6685-2989410-13,Child
343e1a0b-bac2-4333-b371-9caeed9fd6ba,93-6235-8274419-75,Owner
2f6f43b5-2b7f-45dd-b9d7-d90da86de110,03-2590-2750774-48,Owner
88df0afe-b058-49ea-9c45-7e65159a1a6e,80-8508-3866692-38,Owner
1d752796-83c8-4c8a-a60d-9c321544f041,81-3696-4846596-14,Owner
ad50b878-5f14-4180-8d6e-7dd41b80cc9a,08-8080-8118300-56,Owner
4717cb35-7f2a-410c-a14a-21feb1c36552,05-4794-0856315-03,Owner
16f51f38-7c5b-4de3-a4d6-63fd1755e8ea,88-3466-1099151-36,Owner
0be28ace-cd6a-4f88-b8c2-22babf307bff,42-9977-9050450-83,Owner
7074857f-eaea-4e32-95eb-64213c9ef024,51-7673-1823644-35,Child
c4c1b71f-e3f6-46da-88b6-ccb6ff5e16e6,77-1482-1058109-61,Child
559b4020-9588-403e-a95d-ebfa60052344,05-4794-0856315-03,Child
e5a4c9c8-ea97-4d7c-b7f3-30dcd06cff8d,77-5859-9621520-62,Child
5ecc5758-06be-4105-9f9f-15c29c9e98fb,47-5112-8964044-96,Child
79f7ec0e-c294-48b9-9d84-c2763afe6bfd,96-8266-3823587-76,Owner
a0d4fe96-8530-41d1-a44f-eb14171bfd4b,88-1064-3160097-21,Owner
42404e45-7ace-4a1f-b167-869dd35e599c,50-5686-4593809-77,Owner
fad007a4-07f6-4667-af67-4c1048e14b03,18-6932-7307215-32,Child
018197ec-b8f7-4a4a-bc83-0a68d7290f04,49-8182-7243268-35,Owner
283ef817-3991-43af-8171-07ff8e02ed2d,50-5253-8271786-64,Owner
850730c9-ccee-43b3-8a4b-93e014fbb757,14-8428-8915632-58,Child
fd99dc0c-08ce-4367-8447-f1859418cc6d,90-4204-8484886-73,Child
42cb7714-3d1f-4c34-9832-4812e3147b7a,52-3921-0106213-12,Owner
3ad2b1d9-87e1-4429-8cf5-8bb25500c797,29-9370-2310354-50,Owner
86600a06-c571-47f3-b099-08b4848f7b24,30-7835-9498338-94,Child
53a2a216-7869-4b52-bf9e-54578c0d7576,12-1442-4361551-73,Child
8c93b915-59da-4e02-8b2d-bea49cab85ad,85-6767-8328463-58,Owner
47f6e452-ab88-4f35-86b6-8297a2f94472,08-4852-4196182-57,Child
3cd21d00-5823-4dac-b3f6-4e59569d9c07,45-5029-4063074-55,Child
7250cefa-1602-4f0e-8ebe-16163bd70ec5,48-8257-8512654-20,Owner
44f8593f-4e90-413f-a548-373cf0708e6e,79-9751-5251169-12,Child
d872c6a0-83d3-41c7-a080-49fe30e135a5,14-7949-9002287-85,Owner
a834a6cb-1de8-4374-b23f-9d822758e48c,04-7386-2581841-98,Child
b7999421-f393-41ef-b66e-12d45cc54cfb,27-2911-0592308-69,Owner
74df9270-d1d1-4835-bb08-a3654d70b390,87-2347-3925639-31,Child
48050c26-3ff2-41e5-a11f-9c328bfd19b6,36-5600-1816007-36,Child
978c8156-1d85-46ce-b941-3ae42d566ea9,69-4791-9612681-67,Child
259bd8aa-e232-4569-9243-f12a672a6430,85-6575-5908298-44,Child
23b28751-3dab-4b86-894f-8d2cdcd838cb,99-3315-9430125-73,Owner
9f001dc3-7ab1-4f43-b775-509c256871f7,19-1161-2561274-17,Owner
58fad68d-18bd-491c-81d9-1f1cb9b4011d,25-9338-9489979-79,Owner
49d487dd-8037-4525-9ac3-4dfa964ca0b9,50-3200-9722129-93,Owner
0ff3f736-8cb5-4b06-a785-3a2048e805e2,44-1616-5756618-05,Owner
34f113a8-0c6a-4c6e-9fc9-8cd5ff9a9b8c,30-7835-9498338-94,Owner
23700016-622b-48c5-b333-c5c148533b66,23-0410-1810186-79,Child
4167ca09-9250-4d55-9f0b-45eb8539e2b4,06-6749-4540882-05,Owner
b7d1dc14-d814-462d-b965-aa82db208800,78-8057-5261359-01,Child
dfedfeda-402b-4780-b84c-d9df9b609b81,19-6011-8870878-76,Owner
c8dad1bb-4505-4d3d-9d31-780ed7568fb8,80-8727-0138346-88,Owner
cc167288-0153-493a-9901-5e8694c778a7,08-0650-6814832-40,Owner
b5dd2062-3c5e-4c9d-89d4-024a37a305c0,81-7651-5756981-11,Child
6af20242-953d-4135-8a0c-ef09fbf4f003,08-0650-6814832-40,Owner
65abaa8c-e007-42ee-9eb7-faaf7df68baa,70-6653-8191391-22,Owner
ef1c5a51-3266-4e5b-a195-8021f6665ff5,93-6235-8274419-75,Owner
603d5e80-066c-4802-a976-db705d7b744f,50-5253-8271786-64,Child
a28d6345-2da7-4e70-90b8-0edc5163bef4,01-1190-1354548-57,Child
a3dea497-582e-4abb-ba9b-d6ba3d04f5b1,79-2930-8470304-36,Owner
5aa394c2-ae03-4513-9ec9-3791c0a6e8b5,21-5900-0807941-11,Owner
8311a7e9-c675-4c12-ab6c-931b00ed8b76,77-9641-4401846-05,Owner
b7af5a76-5a0a-4fbc-adbc-3cc89a19e212,87-6875-3705176-73,Child
89efde45-0842-418d-9167-268e0edc047f,71-7445-1467261-95,Owner
800491c6-a189-4999-8982-4d661353049e,00-5034-2432265-25,Child
d6abf214-fb18-4dca-9467-1fea98bcfaef,43-3929-6876548-46,Child
74ab022a-271b-4b6e-be18-2467dcab73db,59-6015-7040490-44,Child
bda721b2-d31f-47bd-8350-e5ca1b71511a,45-5029-4063074-55,Child
57ac23ec-95b5-406b-be2e-598b28fd88f9,76-3492-6558630-14,Child
f01f3c63-691b-437d-a82f-f15acfd1cab5,90-4346-1013125-76,Child
6f9ecac3-1587-4981-9680-95703e2bda57,63-5327-1678960-57,Child
0b7e26d7-9e2e-4abb-9c02-fa653fbf68e4,27-2911-0592308-69,Child
fa63ff0f-0bd8-49d1-b370-7de8f6548389,86-5800-1310265-34,Child
40264cca-457d-4631-932c-9e5c2cc41ba2,34-3256-2564123-81,Owner
1ca83c4d-1abc-406e-9263-363d13aca0d4,83-6422-5144155-22,Owner
c1746e08-6c5b-46b3-9fe9-b97faf769581,66-5320-1535606-82,Child
a05656f4-5b80-4c19-8045-c803be2a8eef,74-6159-4623278-81,Owner
25160f65-101d-43b7-b6ac-1478b84d697a,80-8508-3866692-38,Child
c7ba4575-dd58-4b53-b4a4-ff4c8eeb4215,13-4611-0271330-21,Owner
a305af44-331b-41e5-bbb5-667b08fae12d,74-2366-8920032-89,Owner
b0850382-7cb5-4827-9807-066d9e0b88e4,36-1887-1873097-24,Owner
9cf538bd-8512-40ae-96c2-173f01f82dc3,38-3842-9529327-17,Child
ce9fa3f5-a61c-4dae-9523-a7161af2851b,90-5288-2472163-91,Owner
20091bae-a6fb-47fb-902e-aeae9bb5bd41,17-8668-0678312-41,Child
55a15bf9-fac9-4f68-b1b9-04b83b60f47f,27-2911-0592308-69,Owner
533a5c08-e1b0-4561-8e1b-c9908ad426e2,79-2690-2490079-39,Owner
edb50c76-3ed6-4dc1-a2f2-a2b2a62cb611,12-8087-8789909-25,Owner
ae5f6df2-4b92-4a9b-9a57-0c976a679631,15-7468-9194453-54,Child
5eb39984-1598-4a0e-8eb7-75c7ae083e8b,02-6306-4262832-10,Owner
cbe24246-de57-436c-9560-6609f21fc78c,08-8080-8118300-56,Owner
b5cc629a-d5e6-45ae-9e6b-0bb59f3d9c32,76-3492-6558630-14,Child
4c70c7ff-1999-4222-948e-1b194682ffba,90-4346-1013125-76,Child
ae9d76b7-9990-4881-8117-8047f414cc22,79-2930-8470304-36,Owner
856e78c8-cc4e-4420-a8be-26138d4b46af,13-3869-1300271-67,Owner
de0cf82e-2d3f-4704-a6d6-3507f334422a,07-9476-0198185-79,Owner
a6fa39b9-ae84-4bbf-bbcc-918107bb44f7,19-6011-8870878-76,Child
edb91229-035a-477f-8e93-eb86f8332af8,85-6575-5908298-44,Owner
367e01e7-f850-435f-ac9f-157f9cbf84e7,84-0582-2027183-68,Child
1bee2e44-d471-4259-bf72-3c517c961800,94-9439-0996636-73,Child
1cace1c7-b645-4ddc-9223-68d83cab715d,76-2729-8110921-30,Child
2152c584-8184-4199-9167-6e00f459f94d,00-9553-8543112-43,Owner
1a5b44e9-af39-451e-892f-691877e60ea0,16-5972-5563642-24,Owner
b1fd8ea2-acfb-428d-93c2-b32ca2184896,91-3449-7212046-97,Owner
252cc17d-ccc2-4e45-a288-0ad6cd5f0475,67-8823-3531414-29,Owner
5128ff84-5a89-49cf-945c-e986c113f4bf,93-4395-3211416-51,Owner
cb4f288c-09c2-436d-9dc7-5dd4e52b787f,11-6573-3916763-69,Child
c7392296-a341-4cd4-abc6-fd9721422c90,25-9338-9489979-79,Child
f53694c4-44fe-45c7-b6df-e7282ce14951,29-8141-0840349-05,Owner
b518fb13-6648-4090-be7d-30d138d9f2f3,61-3608-1504268-80,Child
6117dd53-e5e7-4bfb-b5a8-a6a3f14d28e8,06-6749-4540882-05,Child
f20cdd23-dc45-4014-8e2e-6e0f21378321,87-2560-2587259-47,Owner
09981d81-45be-4616-807b-3795303602b5,17-8668-0678312-41,Owner
e2ef0c4a-d8d9-4cad-bd7c-60f2d17fd996,74-6159-4623278-81,Child
