tokenised_cif,account_type,account_balance,account_branch,account_closure_datetime,account_hold_flag,account_name,account_number,account_open_datetime,available_balance,currency,product_name,product_number
04ea83e7-afde-45eb-8aec-f03a9373bfab,visa-electron,298.23,3617,,0,Wenda Goodoune,31-1541-9838365-66,2017-05-12T04:20:19Z,4946.02,EUR,Technology,4d729a59-2ab3-47a8-b65b-57b2d9f27af2
57e7074b-75e1-415f-b4c3-f9ebaa795f27,bankcard,2215.69,3428,2008-07-05T15:06:05Z,0,Chelsea Birkmyr,33-1545-0623120-12,2020-10-29T04:47:28Z,2177.13,IDR,Finance,4ee538d1-396e-493d-9a77-f51c07d436af
57e7074b-75e1-415f-b4c3-f9ebaa795f27,china-unionpay,9429.92,3136,,1,Joyann Spritt,86-3470-7682085-72,2009-03-25T13:30:39Z,767.42,PHP,Consumer Services,11ff38c7-7e2b-4795-bfc8-9c022c6d1986
57e7074b-75e1-415f-b4c3-f9ebaa795f27,jcb,5273.27,3436,2008-05-10T18:12:22Z,0,Kai Palin,85-0575-5994689-20,2019-07-22T08:47:14Z,4910.98,RUB,n/a,a35ae367-f7d4-49ad-b5e2-283f44dd59d0
57e7074b-75e1-415f-b4c3-f9ebaa795f27,maestro,8401.93,3136,2013-01-14T09:01:38Z,1,Wilma Sleight,88-3466-1099151-36,2002-04-04T01:29:37Z,8635.86,DKK,Transportation,58975e47-f01a-411d-adc1-64364e95f3d1
57e7074b-75e1-415f-b4c3-f9ebaa795f27,visa-electron,5545.51,3617,,1,Richie Gemmell,68-6894-6363208-27,2021-09-14T07:22:48Z,3444.1,HRK,Consumer Services,fa7a303a-c2d8-4d49-b7a8-edad4c9433f1
9b65b4d9-dcba-44f7-8a0f-06c2f59ae952,americanexpress,8568.68,3617,2014-11-29T11:37:57Z,1,Marylinda Hewins,46-9416-1685142-31,2015-12-17T05:25:20Z,1695.25,EUR,Capital Goods,f0e8fb58-623b-4603-9ff4-ea822b224bb5
9b65b4d9-dcba-44f7-8a0f-06c2f59ae952,china-unionpay,9937.23,3428,,0,Vladamir Ottey,87-6875-3705176-73,2015-08-02T23:52:42Z,8717.8,SEK,n/a,12ee0d70-09c7-4b06-a7e6-738289c8a034
9b65b4d9-dcba-44f7-8a0f-06c2f59ae952,diners-club-carte-blanche,9967.7,3049,,0,Rowan Thurston,66-6517-9594909-03,2019-08-13T06:44:03Z,4242.55,MXN,Technology,88a68c9e-a2e8-4311-834a-76c9bc862ca4
9b65b4d9-dcba-44f7-8a0f-06c2f59ae952,jcb,8277.1,3011,2007-01-30T19:38:38Z,1,Gare Victor,80-8508-3866692-38,2020-07-19T06:46:38Z,5943.34,CZK,Consumer Services,54a1b770-2588-4f3e-9cc4-4dded855ad2a
9b65b4d9-dcba-44f7-8a0f-06c2f59ae952,maestro,7870.75,3011,2009-02-24T01:31:43Z,0,Rancell Magenny,02-6306-4262832-10,2008-05-01T00:53:06Z,7383.78,PYG,n/a,e37ac421-49b4-4948-8dba-9bc281001a77
9b65b4d9-dcba-44f7-8a0f-06c2f59ae952,mastercard,4742.57,3427,2005-05-27T07:23:21Z,0,Aeriel Metherell,29-9370-2310354-50,2022-07-28T15:10:46Z,1219.31,EUR,Transportation,e6fcfd46-729a-4232-b197-709acd3ef57d
9b65b4d9-dcba-44f7-8a0f-06c2f59ae952,visa,7367.43,3436,,1,Rosemarie Haile,12-9765-1130251-52,2012-06-11T18:51:08Z,5783.13,IDR,Consumer Durables,cc2abbf2-c4d3-4c3d-9ba9-edd8484dde35
6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,bankcard,4874.79,3427,2019-05-27T19:40:22Z,0,Elnora Gehrtz,72-2000-5423197-21,2021-02-25T02:00:10Z,6003.26,MXN,Finance,fdbf637a-60ab-4cd8-9086-ff0133853fb8
6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,jcb,9773.32,3059,2011-09-14T05:49:40Z,0,Finley Jevon,53-2291-1892772-62,2015-10-29T02:41:18Z,2399.98,THB,Health Care,a8b1af09-59f0-4deb-aae7-a3cd1dde4c9b
6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,laser,7453.02,3428,2019-08-31T20:42:43Z,1,Rosalie Duxfield,88-8373-5670142-39,2008-11-28T23:59:02Z,7157.05,PKR,Consumer Services,97b2e1d6-0a1f-4f16-a647-c409ea04cc11
6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,maestro,7560.74,3427,2018-10-22T13:55:19Z,0,Griselda Kneaphsey,77-6542-4685865-63,2012-07-08T14:42:41Z,2663.46,CNY,Technology,e9cc2010-9eb2-4c87-9136-ee91da1266aa
6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,mastercard,6260.94,3059,,1,Thibaud Gorrie,98-9125-0164809-11,2020-08-07T15:00:25Z,8713.36,IDR,n/a,c4bc491b-d349-4ceb-b5ed-d25abdaba128
6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,switch,1053.77,3011,,1,Evy Pllu,59-2780-8299367-94,2004-11-04T12:24:30Z,9604.69,PHP,Finance,54cd6639-bd84-43a5-83fb-f709e2f32207
6374ea5f-129f-48a9-9fe4-e9871380a528,americanexpress,8635.73,3035,,1,Arielle McAreavey,15-7468-9194453-54,2020-11-02T10:20:04Z,9773.48,JPY,Consumer Services,7c5deac4-71bc-41bb-a980-5603129e83fd
6374ea5f-129f-48a9-9fe4-e9871380a528,bankcard,6790.41,3617,2018-05-07T23:54:17Z,1,Harriet Dake,24-2448-0771214-48,2004-06-11T02:44:57Z,2319.41,IDR,n/a,73ece219-2f48-4f4e-93ff-2a3ed7520975
6374ea5f-129f-48a9-9fe4-e9871380a528,jcb,8394.65,3011,2006-05-04T03:22:36Z,1,Uriah Deevey,21-5900-0807941-11,2003-03-23T11:02:11Z,5692.72,EUR,Health Care,e1cbc0dc-b12c-4a89-8008-52c42b34b77e
6374ea5f-129f-48a9-9fe4-e9871380a528,maestro,1894.83,3436,2022-04-20T09:35:58Z,0,Waldon Waggitt,75-3278-4751407-75,2018-01-10T05:00:44Z,9959.3,PKR,Technology,06f572e9-bec7-417c-8650-5b374aec66f4
6374ea5f-129f-48a9-9fe4-e9871380a528,mastercard,3836.35,3617,2013-10-26T10:48:43Z,0,Milt Gummary,26-5210-3340590-14,2020-02-23T16:19:42Z,3954.21,NGN,Public Utilities,62e62d43-3fb2-464c-ac4d-35962ba57e52
6374ea5f-129f-48a9-9fe4-e9871380a528,visa,8461.35,3136,,0,Lamar Alenin,54-6593-9083033-79,2005-07-23T13:57:26Z,13.98,MDL,n/a,d1cd06ff-f7ea-4973-a481-4f979f7af5fe
8fcf6d4a-1080-481f-bb3f-b5274ae7afc3,americanexpress,445.6,3428,,0,Homerus Matej,34-3256-2564123-81,2022-12-30T22:18:38Z,6074.57,CZK,Capital Goods,e8882570-17e2-4a4e-8c65-d439fd297118
8fcf6d4a-1080-481f-bb3f-b5274ae7afc3,china-unionpay,7919.79,3059,,0,Omero MacPadene,86-9020-9247355-73,2006-01-19T00:43:41Z,7843.43,VND,Finance,b60d8af5-0a30-4f87-a561-aeb31a6f2cb8
8fcf6d4a-1080-481f-bb3f-b5274ae7afc3,diners-club-enroute,174.74,3059,2022-12-20T14:52:55Z,0,Auria Baniard,91-5681-4862118-87,2018-10-05T09:56:54Z,2447.77,CNY,Finance,3911604e-6a87-4352-b1fe-8c9bedcbc5c2
8fcf6d4a-1080-481f-bb3f-b5274ae7afc3,diners-club-international,4860.57,3436,2019-03-03T19:29:47Z,0,Farrell Kolis,14-7949-9002287-85,2020-10-04T00:27:30Z,8376.81,RUB,Basic Industries,2933d1ed-98e0-451a-8b35-4caf4dbda7eb
8fcf6d4a-1080-481f-bb3f-b5274ae7afc3,jcb,5119.33,3436,2020-10-10T10:04:20Z,1,Reuben Lovatt,77-2483-1250710-55,2020-07-08T00:57:05Z,9205.98,PLN,n/a,f06b0483-361d-427a-ab37-7636cdb032e8
8fcf6d4a-1080-481f-bb3f-b5274ae7afc3,visa-electron,2574.96,3428,,0,Camey Bellini,81-3696-4846596-14,2008-02-15T09:39:33Z,435.34,EUR,Finance,45fd22b3-680c-4811-90a4-04e23d569664
3feec214-0d37-4e82-84ea-f864d350eaab,americanexpress,9729.71,3049,2021-09-01T16:55:33Z,1,Tonie Morgue,87-2347-3925639-31,2015-10-16T05:25:52Z,8729.39,EGP,n/a,fd6569e7-b206-4c7e-a803-3c614be5eb81
3feec214-0d37-4e82-84ea-f864d350eaab,bankcard,9979.36,3136,,1,Kelley Moxsom,90-5288-2472163-91,2017-06-05T22:51:33Z,6653.74,PEN,n/a,fe61e6a2-169c-446d-b171-d8fdae59ca35
3feec214-0d37-4e82-84ea-f864d350eaab,china-unionpay,3517.78,3011,2013-07-02T09:43:45Z,1,Amy Walisiak,16-5972-5563642-24,2008-07-26T11:52:22Z,4376.33,PLN,Finance,243f8d00-b8f6-4349-abbc-abc0f73ac26d
3feec214-0d37-4e82-84ea-f864d350eaab,diners-club-enroute,5570.02,3059,2014-01-13T20:06:44Z,1,Jami Juggings,00-0807-0314761-97,2008-02-08T15:14:25Z,4540.04,XAF,Finance,faef7117-7e4b-4ba0-a541-8842e769f669
3feec214-0d37-4e82-84ea-f864d350eaab,jcb,6226.71,3436,2019-08-01T09:08:34Z,0,Jermayne Filipyev,44-4231-4090150-94,2016-03-27T15:36:04Z,5357.27,EUR,n/a,e6fcb11c-fdfe-4c15-acea-793f8b72b543
3feec214-0d37-4e82-84ea-f864d350eaab,laser,4357.39,3136,,1,Von Folger,91-3449-7212046-97,2007-08-23T14:19:45Z,6552.25,CNY,Consumer Non-Durables,c1bdb7a9-b6f3-4ffa-8dd2-2dccaaed1f42
3feec214-0d37-4e82-84ea-f864d350eaab,visa-electron,9520.65,3436,2005-04-22T22:58:58Z,0,Crista Brailey,96-8266-3823587-76,2005-09-04T09:09:07Z,4356.85,PHP,Finance,3a272397-5d33-4d67-a2d7-328d6ee89cfc
d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,americanexpress,5977.62,3427,2019-07-28T02:57:30Z,0,Gilberto Depke,64-8151-1012614-83,2011-12-07T22:08:49Z,2734.31,IDR,n/a,d9e0c564-85d9-4775-bd84-7737470210e7
d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,jcb,8215.33,3136,2008-03-11T19:17:22Z,0,Lilla Moorman,42-2486-0229127-17,2022-06-28T13:38:23Z,6506.06,RUB,Transportation,959c92f7-5d6a-4c8b-81f8-b7d1b10cd49b
d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,maestro,7852.76,3233,2021-03-19T16:52:31Z,0,Thedrick Pepall,05-4794-0856315-03,2019-12-16T08:26:29Z,5825.94,CNY,n/a,6cc324bf-6a05-4f6a-be66-be2ff7def124
d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,mastercard,9317.34,3011,,0,Molly Scudamore,06-5656-4544408-52,2009-11-28T20:26:22Z,1083.46,ARS,Energy,895fb535-9366-4f36-a7da-1a964981adc6
d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,visa,7562.58,3428,2000-05-21T11:01:37Z,1,Dolorita Cockcroft,43-2758-3297974-54,2002-08-21T10:37:01Z,2391.55,RUB,Public Utilities,39038c2f-4591-4337-9184-2d86d85e0862
d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,visa-electron,8386.93,3011,2016-02-09T08:18:24Z,1,Dorisa Wreath,75-3803-9896926-35,2007-06-25T13:09:30Z,6502.76,ALL,Consumer Services,c92a61b6-7e96-4bf2-ad71-1d4d28ab6fa1
969ab8ba-8a5d-4d96-aa33-d1f23d7c260f,china-unionpay,2978.33,3427,2003-02-20T23:05:39Z,1,Kylen Losseljong,86-5800-1310265-34,2014-11-06T09:00:28Z,315.86,CNY,Public Utilities,cb4c9459-8e64-42c1-b5fd-4717e0e81ac4
969ab8ba-8a5d-4d96-aa33-d1f23d7c260f,diners-club-enroute,4836.75,3136,2010-06-13T17:43:14Z,1,Karylin Burwell,31-2455-0154372-36,2014-03-27T04:51:22Z,1049.73,CNY,Technology,a2103343-cfb7-43c4-a7b3-d83df70cd1f9
969ab8ba-8a5d-4d96-aa33-d1f23d7c260f,jcb,3473.46,3035,2013-08-03T16:14:19Z,0,Vincenz Caghy,27-2436-2403679-23,2022-11-24T05:40:21Z,5760.33,EUR,Energy,2c276426-d223-4292-bda6-9bc0826fc78c
969ab8ba-8a5d-4d96-aa33-d1f23d7c260f,maestro,4744,3035,2010-09-17T23:02:48Z,1,Hercules Dowsett,74-7822-5731812-52,2013-09-14T06:51:05Z,3065.94,CZK,Consumer Services,71107115-b97b-4599-9dbf-ba02c38aab60
969ab8ba-8a5d-4d96-aa33-d1f23d7c260f,switch,8092.63,3049,2002-10-17T20:09:36Z,1,Thorny Cornehl,12-8087-8789909-25,2019-08-16T21:13:19Z,6588.49,IDR,Finance,72915b96-b854-41f7-9a45-becc1d398b93
33b4b555-a5fa-4c84-95d3-aa9777aa33d1,jcb,3404.67,3436,2018-01-19T18:58:05Z,1,Perle Yuranovev,98-6119-3468844-76,2022-08-27T21:46:44Z,9677.64,THB,Energy,fc392946-50ba-4ac5-9aa1-a2f91e1584cd
33b4b555-a5fa-4c84-95d3-aa9777aa33d1,maestro,3121.14,3428,2001-08-24T04:56:29Z,1,Chuck Obern,27-6567-6114300-32,2003-08-23T14:42:20Z,585.05,XOF,Finance,253d1434-8695-4053-b904-980d4a05da8f
8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,americanexpress,677.01,3427,2008-01-25T19:17:29Z,0,Kamila Picker,76-2729-8110921-30,2000-01-27T09:43:54Z,4461.49,RUB,Consumer Durables,5bc1c378-a4fc-45c4-bff4-e628454a25d8
8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,diners-club-us-ca,1083.77,3436,2007-04-15T15:03:27Z,1,Melly Papps,81-8719-3506851-35,2001-02-23T11:59:42Z,5160.78,IDR,Capital Goods,83f38165-8dfd-463b-8085-a7e8a74282fa
8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,jcb,6903.15,3011,2022-08-13T13:50:41Z,1,Kathye Hounsham,81-7651-5756981-11,2014-09-02T12:13:11Z,4073.41,PEN,Miscellaneous,c8dfa53f-4d6b-4258-bda5-6dbc67007e6e
8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,laser,2850.74,3436,,1,Evey Goodoune,45-6320-9289269-11,2004-07-04T03:57:25Z,7681.41,IDR,Miscellaneous,434bca37-dc58-421a-b649-426b3f3b1f68
8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,switch,8896.56,3233,2001-10-18T06:44:47Z,1,Celle Backshaw,84-5271-9694862-40,2002-10-23T04:23:44Z,5011.2,USD,Basic Industries,2be9862f-4edc-4e78-bdb8-6782bb9c122e
68343e45-7f06-423d-8361-20f64d02c28c,diners-club-enroute,9926.61,3011,2009-11-09T13:03:45Z,1,Carrissa Giabucci,91-5983-1984682-99,2016-03-10T08:56:45Z,4893.63,CNY,Consumer Non-Durables,f7345211-c0b5-4101-b94d-f73fb625a9cf
68343e45-7f06-423d-8361-20f64d02c28c,instapayment,8519.73,3233,,0,Jeremie Laxton,50-4239-8994038-48,2004-08-04T15:43:11Z,7939.67,IDR,Finance,c4c4c4d6-0a3b-4ca8-9aae-b026bf2d44b4
68343e45-7f06-423d-8361-20f64d02c28c,jcb,218.23,3436,,1,Normy Edyson,43-9313-8580825-14,2017-03-20T01:25:19Z,8318.63,SEK,Health Care,78dcb384-d31e-4328-bcec-1c5ed602c099
68343e45-7f06-423d-8361-20f64d02c28c,mastercard,5947.93,3428,2017-12-17T20:27:43Z,1,Fawne Robinson,94-9439-0996636-73,2018-02-04T14:47:08Z,7158.4,PLN,Consumer Services,77f26455-70f2-4287-a51a-b6d04eb3defb
68343e45-7f06-423d-8361-20f64d02c28c,solo,3207.97,3436,2022-01-01T06:40:21Z,1,Fredric Goligher,00-5034-2432265-25,2002-08-29T23:27:42Z,8973.32,IDR,Transportation,0b9ae078-7c71-4d3a-9abe-57d3e8713070
103c2634-2c06-4554-ab4b-45154c462453,diners-club-carte-blanche,7695.23,3436,2019-09-01T17:04:35Z,0,Rodolph Goodhand,54-9809-7532850-10,2012-09-09T15:04:25Z,4296.31,PLN,Health Care,f16c32ae-f567-429f-9132-1588bce4e325
103c2634-2c06-4554-ab4b-45154c462453,diners-club-us-ca,6517.3,3617,2003-10-05T19:54:51Z,1,Myrtle Dussy,32-5899-2967858-72,2010-05-06T09:18:11Z,2782.86,CNY,Miscellaneous,f825141c-be54-46e4-bdb5-34f2fc1356bf
103c2634-2c06-4554-ab4b-45154c462453,jcb,3118.24,3059,,0,Junina Whittlesey,42-2000-1724717-00,2008-01-21T22:34:33Z,5167.2,PHP,Finance,028f7a07-539f-4a24-85c5-defa1767c993
103c2634-2c06-4554-ab4b-45154c462453,mastercard,1481.66,3427,2018-09-14T21:47:20Z,0,Megan Swinyard,13-4083-4384152-78,2015-11-22T03:53:43Z,7065.6,THB,Miscellaneous,ea69faf0-ac86-4300-8619-4972406d46db
103c2634-2c06-4554-ab4b-45154c462453,switch,3523.22,3427,2003-07-25T16:55:09Z,0,Ernest Shearn,77-9415-8721436-75,2004-05-20T02:46:12Z,5276.45,PLN,Finance,fdcb7e3e-7b69-4291-8cfe-491debfba9ee
103c2634-2c06-4554-ab4b-45154c462453,visa-electron,597.04,3136,2006-10-20T17:29:05Z,0,Arden Iddison,42-9977-9050450-83,2003-06-20T21:24:53Z,8275.69,IDR,Consumer Services,2d8afd95-c91e-4190-86cb-68b1059d9e8b
e2781d92-3561-49a5-be93-c225b67b4825,diners-club-enroute,2647.31,3427,2013-07-14T05:40:45Z,1,Carolan Antoszewski,90-4617-2014538-96,2011-06-02T00:54:12Z,5192.09,BWP,Basic Industries,11d00db8-7a6f-49a2-986d-4bb12d2e9c79
e2781d92-3561-49a5-be93-c225b67b4825,jcb,4370.86,3049,2000-10-26T00:02:04Z,1,Vivianna Jervois,80-9086-8530604-35,2007-12-17T19:10:07Z,8350.01,JPY,n/a,ee70062f-395f-4c3e-b65d-4834042da8d4
e2781d92-3561-49a5-be93-c225b67b4825,laser,9027.57,3059,2010-11-12T07:19:36Z,1,Louisette Winsiowiecki,79-6058-5002023-40,2020-02-18T00:19:25Z,9277.96,KPW,Consumer Services,6d175105-0686-4adb-ae40-7c92de4b015f
e2781d92-3561-49a5-be93-c225b67b4825,switch,7165.11,3136,,0,Angelique Gerrie,79-9751-5251169-12,2002-04-09T00:41:31Z,6841.94,SEK,Energy,2002e36e-3b84-420f-8006-67404523e851
e2781d92-3561-49a5-be93-c225b67b4825,visa,8349.84,3427,2014-02-21T21:57:41Z,0,Susana Hawkwood,19-1507-4894059-64,2016-11-02T18:51:25Z,6671.88,PEN,Basic Industries,fac5ee6a-cf7f-4366-bce7-c999485fc0f9
31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,americanexpress,4591.11,3427,,1,Darin Enrigo,80-7793-3512601-78,2019-05-01T12:54:07Z,3422.65,THB,n/a,b62f7e77-4085-4cf3-8823-761691628a3c
31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,bankcard,6148.52,3427,2015-07-23T14:05:05Z,0,Danya Assel,53-8665-8484862-84,2002-06-02T04:21:11Z,7574.15,ILS,Finance,ff4af209-6a64-481b-9278-2b219831dbe7
31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,diners-club-enroute,382.65,3049,,0,Micky Franklen,35-8168-6150885-33,2003-07-24T20:17:31Z,452.37,IDR,Technology,e84b0e52-0f3a-43df-9301-f37fb0ea3b44
31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,jcb,6152.58,3617,2012-06-12T21:14:19Z,1,Gabi Monkhouse,79-2930-8470304-36,2008-12-07T22:27:10Z,5961.52,PHP,n/a,dd8a98b8-67b2-4fcf-9fff-5c1e62408408
31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,maestro,9533.33,3233,2015-06-21T12:39:52Z,1,Kaye Madrell,77-1482-1058109-61,2017-01-05T22:41:37Z,4461.16,CNY,Health Care,ddfb2570-181e-4a3e-beba-1c9cda318c27
31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,visa-electron,7654.27,3011,2004-03-04T15:13:28Z,0,Joela Ruvel,59-9933-6952232-48,2012-11-29T22:26:10Z,9398.82,COP,Finance,4327dabd-fea8-4630-8092-31315e093534
adc40854-1080-4540-9272-aaf479d2e051,diners-club-enroute,6333.79,3136,2012-01-14T12:52:47Z,0,Arie Smitham,50-3200-9722129-93,2021-06-20T00:15:01Z,868.87,PKR,Consumer Durables,f6dd35be-cd81-4700-b88a-9a6b4abafbb4
adc40854-1080-4540-9272-aaf479d2e051,jcb,5580.41,3136,2020-03-27T08:36:52Z,1,Pavla Papps,46-4347-1710126-60,2019-01-30T00:12:12Z,9350.23,IDR,Technology,e1dc8947-63f6-488c-8d7d-58d14d43dda8
adc40854-1080-4540-9272-aaf479d2e051,switch,480.29,3049,2019-02-13T16:37:03Z,0,Mariska Acuna,21-8980-6411860-57,2001-07-18T07:04:22Z,2448.28,EUR,Health Care,9a622960-dcba-428c-9496-315aedd3da88
adc40854-1080-4540-9272-aaf479d2e051,visa-electron,7755.07,3427,,1,Fee Ormonde,07-2900-9494689-46,2014-06-29T12:00:43Z,583.37,IDR,n/a,1c7835d1-2542-441c-a514-172982f1cb3b
3d85ef03-1273-471a-bbd6-8a5fc18b6d04,americanexpress,5673.61,3011,,1,Nola Boreland,64-3656-5389111-76,2004-01-24T17:22:12Z,5251.9,NOK,Consumer Services,2f975ecf-eee7-48e6-a530-5a29c91dccd1
3d85ef03-1273-471a-bbd6-8a5fc18b6d04,diners-club-carte-blanche,156.06,3617,2020-12-30T07:07:55Z,0,Emilie Keener,68-0300-8905961-69,2018-05-13T15:15:32Z,5101.16,JPY,Finance,c26591a7-96c8-44ce-8aa1-e0e6732d35b2
3d85ef03-1273-471a-bbd6-8a5fc18b6d04,jcb,3123.95,3436,2011-07-09T23:35:35Z,1,Valentine Draper,90-4204-8484886-73,2017-10-18T22:10:11Z,3875.17,HTG,n/a,58edef91-c0ee-47ac-842b-789fe9f828e7
3d85ef03-1273-471a-bbd6-8a5fc18b6d04,laser,2830.09,3617,,1,Ivan Bridgestock,15-1326-8659112-86,2012-05-24T04:05:33Z,6573.42,BRL,Capital Goods,9159d81b-5183-4e87-bfe4-83f26f87fc86
3d85ef03-1273-471a-bbd6-8a5fc18b6d04,maestro,7798.29,3428,2016-01-09T03:24:36Z,0,Kerwin Petheridge,30-5782-1074972-22,2006-05-15T12:20:47Z,5737.46,PKR,Technology,275d7f02-a378-447e-8a70-7bb42fcefbaa
4a4190ca-962c-4073-9f38-ea4491a41476,diners-club-enroute,6142.14,3428,,0,Lauren Tomankowski,36-0402-8289645-91,2014-09-26T02:56:32Z,6605.95,IRR,Energy,f13553ec-7363-4015-beee-4fd190f4a533
4a4190ca-962c-4073-9f38-ea4491a41476,jcb,9257.18,3617,2011-03-26T12:24:41Z,1,Shep Scarce,36-5600-1816007-36,2022-03-17T03:32:35Z,8412.41,PHP,Technology,a199cf0a-f65f-45c6-a29d-fd3576316ccb
476f8c07-b92d-4204-8ad0-cf0c07350b12,americanexpress,783.26,3049,,0,Munmro Slimmon,82-3704-6779112-15,2004-06-20T23:00:05Z,3626.27,CNY,Capital Goods,f96c2e2d-141b-411e-a0dc-ff125ce25c24
476f8c07-b92d-4204-8ad0-cf0c07350b12,diners-club-carte-blanche,8221.32,3035,,0,Gabbie Van Son,39-8989-8690154-75,2020-12-13T13:44:20Z,910.14,GBP,Finance,89d4e23a-fb26-4485-a968-b1faa4a4ccfe
476f8c07-b92d-4204-8ad0-cf0c07350b12,jcb,228.44,3617,2016-07-31T02:50:36Z,1,Sherlock Doone,78-8057-5261359-01,2011-02-26T17:07:43Z,7529.35,CRC,n/a,aa0ce029-d69e-442d-9b43-93e2d493f34d
