account_number,account_type,account_balance,account_branch,account_closure_datetime,account_hold_flag,account_name,account_number_tokenised,account_open_datetime,available_balance,currency,product_name,product_number,relationships/0/key,relationships/0/value/tokenised_cif,relationships/0/value/cif_number,relationships/0/value/link_type,relationships/1/key,relationships/1/value/tokenised_cif,relationships/1/value/cif_number,relationships/1/value/link_type
34-0654-7283518-93,visa-electron,6929,3427,2022-10-02T21:24:05Z,false,Pepita Scay,8ad27f30-fdac-42c9-857b-d78671efda37,2013-04-01T05:40:51Z,2785,SLL,Plastic,98356e0a-e7ae-455a-8edb-f957315d3a53,1bb380e1-895c-4118-b51b-f85b8dc9a884,1bb380e1-895c-4118-b51b-f85b8dc9a884,470680,Joint,e2781d92-3561-49a5-be93-c225b67b4825,e2781d92-3561-49a5-be93-c225b67b4825,582397,Owner
09-1469-2268114-86,jcb,4313,3049,,true,Sergio De Haven,845a41bf-7cf5-4779-b27d-9b6685239bd5,2017-03-07T05:23:44Z,4624,IDR,Plexiglass,681a3d28-491c-4d29-9172-166593112c07,6374ea5f-129f-48a9-9fe4-e9871380a528,6374ea5f-129f-48a9-9fe4-e9871380a528,345071,Owner,d1fb9763-2de5-4d96-b204-06d1a77c5be8,d1fb9763-2de5-4d96-b204-06d1a77c5be8,876979,Joint
26-5716-2225730-43,jcb,8842,3436,2022-12-07T19:00:21Z,true,Bernhard Roullier,043228b8-9b5b-467f-8909-7b54aebf856f,2006-09-07T22:02:00Z,5657,CNY,Plexiglass,2630f334-07c9-444c-9d69-128170e55c00,6fd57a47-dc2a-41ef-852b-7aa0ac0edd63,6fd57a47-dc2a-41ef-852b-7aa0ac0edd63,150227,Owner,ea16a744-3b39-4f10-ae47-46ac1d9e3d1e,ea16a744-3b39-4f10-ae47-46ac1d9e3d1e,193783,Joint
11-7123-4885294-97,jcb,7616,3136,,true,Brendin Crome,f2ec65f7-b7d6-475f-9414-82d8fe50c4cb,2006-05-20T21:32:37Z,5361,RUB,Vinyl,515cb950-80e4-4c8b-b5e5-18680bbcf359,68343e45-7f06-423d-8361-20f64d02c28c,68343e45-7f06-423d-8361-20f64d02c28c,016170,Owner,b63cc284-4b6b-42fd-a599-0600c6ca0bcc,b63cc284-4b6b-42fd-a599-0600c6ca0bcc,774561,Joint
05-9936-2725197-58,maestro,7225,3233,,false,Ramsey Molineux,a9e5c70c-e380-459f-beca-b8d978c25860,2017-09-12T19:05:53Z,9662,BRL,Plastic,b4463e97-d549-43c9-b373-dbe797e16c79,04ea83e7-afde-45eb-8aec-f03a9373bfab,04ea83e7-afde-45eb-8aec-f03a9373bfab,632406,Owner,bc9ed0c2-3e6c-4e15-9d5c-a62a4bf64ae3,bc9ed0c2-3e6c-4e15-9d5c-a62a4bf64ae3,209744,Joint
45-0901-5109112-76,jcb,9181,3233,,true,Reggie Sentinella,dd0a6a68-f1c5-4cd2-b906-bde875f18246,2010-12-21T04:53:10Z,2372,EUR,Brass,bd8988ca-4ac8-4d9c-a38a-71b3b03a4257,3bb51189-c13b-42db-bed4-310e16d93de7,3bb51189-c13b-42db-bed4-310e16d93de7,814242,Joint,65ef7768-3acc-4a23-bc86-5016987d935e,65ef7768-3acc-4a23-bc86-5016987d935e,478407,Owner
28-9591-1523628-31,laser,6592,3427,,true,Mychal Trevan,b48b8dca-f0cc-4f53-b440-e16d9db64fab,2005-03-23T09:12:00Z,1866,MAD,Brass,837f82c2-e2bc-4692-adcc-eadc2afe5456,208e080a-3995-4041-a79f-07043c620741,208e080a-3995-4041-a79f-07043c620741,707970,Joint,57e7074b-75e1-415f-b4c3-f9ebaa795f27,57e7074b-75e1-415f-b4c3-f9ebaa795f27,890175,Owner
17-2702-8196117-11,maestro,3048,3233,,true,Barny Mateus,c5918be7-25e4-47cf-b8d5-da59af052153,2014-04-23T00:57:20Z,3901,IRR,Aluminum,debc5905-ee96-4da6-ad69-ddead1ac6d6e,584fa414-ecfd-46ad-a06b-54097ff89b93,584fa414-ecfd-46ad-a06b-54097ff89b93,891354,Joint,8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,353329,Owner
79-5173-8569629-36,switch,7035,3035,,false,Roderic Lapham,81a51b75-4910-4a61-8a5d-14ce91543f4e,2010-09-07T09:08:05Z,6132,PLN,Brass,7d667f40-4f56-47dc-9bfa-ba25e174eb09,3d85ef03-1273-471a-bbd6-8a5fc18b6d04,3d85ef03-1273-471a-bbd6-8a5fc18b6d04,897665,Owner,d6e46da1-a760-4aa0-b392-79e6c437fb19,d6e46da1-a760-4aa0-b392-79e6c437fb19,911879,Joint
41-3110-3860921-59,visa,8426,3035,,true,Hinze Champley,257134ff-616f-4094-b753-a6c700fdec47,2009-11-15T12:36:46Z,2211,UAH,Steel,a03e22eb-485d-4955-b9a8-09a4cdc9bc26,33b4b555-a5fa-4c84-95d3-aa9777aa33d1,33b4b555-a5fa-4c84-95d3-aa9777aa33d1,087815,Owner,a242fc65-08f3-49a0-af33-d941c912009b,a242fc65-08f3-49a0-af33-d941c912009b,403326,Joint
35-3735-4804905-30,maestro,4032,3136,,false,Ame Fforde,f1d2c093-d2cd-42ae-8489-4e574809512e,2004-05-01T05:44:19Z,5912,CNY,Stone,ffa7b751-227c-4217-a818-8a0bf7c29be1,7babe2ad-57d6-4be1-9245-a29b21408bc4,7babe2ad-57d6-4be1-9245-a29b21408bc4,425321,Joint,969ab8ba-8a5d-4d96-aa33-d1f23d7c260f,969ab8ba-8a5d-4d96-aa33-d1f23d7c260f,554580,Owner
64-4065-9280087-25,china-unionpay,2801,3136,,true,Prudy Petris,66e93168-59fc-4f0b-9a80-29b4df729a37,2013-06-17T10:23:42Z,9668,PLN,Plastic,64eb3d3a-28f3-4b9f-b6ad-9d3d50d1b2f8,57a2ad40-c5cd-453d-af08-bff547d50865,57a2ad40-c5cd-453d-af08-bff547d50865,843955,Joint,8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,147537,Owner
86-3758-8671655-05,switch,5859,3136,,false,Trstram McClymond,1b633c7f-fc11-4b34-bf65-26661562d3a4,2015-11-29T05:53:23Z,199,PLN,Glass,3ac4ba9c-0b7e-4293-8cc3-d7aa515f0651,df70f10e-676b-4d2a-8e5b-5a0dbe7fed7e,df70f10e-676b-4d2a-8e5b-5a0dbe7fed7e,667534,Joint,e2781d92-3561-49a5-be93-c225b67b4825,e2781d92-3561-49a5-be93-c225b67b4825,440142,Owner
00-6915-0842720-36,laser,644,3436,2022-04-23T12:12:24Z,false,Krystyna Ubanks,33dff0c9-ab97-4717-92b6-ea93a2d7989c,2014-01-07T04:24:16Z,3977,IDR,Wood,2df4ef99-c8d7-4027-a683-5c34a2e867bc,33b4b555-a5fa-4c84-95d3-aa9777aa33d1,33b4b555-a5fa-4c84-95d3-aa9777aa33d1,694481,Owner,e5a00487-be48-4c16-9648-6eefe36489e9,e5a00487-be48-4c16-9648-6eefe36489e9,003785,Joint
13-1006-3999674-74,jcb,4997,3427,2023-01-09T04:35:28Z,true,Morey Hardistry,4a4d12e1-1f60-4e3a-abc3-ef503bb1ce59,2000-10-05T20:56:08Z,9035,UAH,Stone,a79647bb-2689-489b-8da5-9cf109e6bd81,6374ea5f-129f-48a9-9fe4-e9871380a528,6374ea5f-129f-48a9-9fe4-e9871380a528,848224,Owner,bc3b22fc-6354-4b93-9eaf-6be02047fe04,bc3b22fc-6354-4b93-9eaf-6be02047fe04,167711,Joint
09-6647-9627677-37,jcb,2481,3428,,false,Jo-anne Giacubbo,67f5a46c-6e4a-442e-9f62-8be0911ef7a4,2022-06-18T13:41:00Z,8742,MMK,Plexiglass,9a952d0b-6f72-4768-9afb-dd352156abc2,3feec214-0d37-4e82-84ea-f864d350eaab,3feec214-0d37-4e82-84ea-f864d350eaab,627007,Owner,de092e6e-86a8-47ae-9049-39ec54ffef44,de092e6e-86a8-47ae-9049-39ec54ffef44,106724,Joint
74-8260-9284856-13,laser,5693,3436,2022-11-12T22:28:02Z,true,Tabbi Aspell,a8556566-2bdd-4c9c-8b6e-e0607b26e553,2005-04-23T17:45:10Z,6734,CNY,Aluminum,9c33048e-f24c-4d60-87f8-8d00205877fa,080a38dc-d247-4b44-8705-85814c542c4a,080a38dc-d247-4b44-8705-85814c542c4a,444136,Joint,adc40854-1080-4540-9272-aaf479d2e051,adc40854-1080-4540-9272-aaf479d2e051,466242,Owner
05-5191-8987651-48,jcb,8400,3436,2022-11-23T04:42:39Z,false,Buddie Marcome,c2e262cd-f0e4-4cd8-80c8-012843de5a98,2011-12-21T04:55:37Z,5360,EUR,Glass,ef23f089-2552-469e-9666-6196bc0beb4b,d3f0baa3-138e-473d-a805-1dba89c79c05,d3f0baa3-138e-473d-a805-1dba89c79c05,075692,Joint,e2781d92-3561-49a5-be93-c225b67b4825,e2781d92-3561-49a5-be93-c225b67b4825,740379,Owner
86-7430-6004829-01,jcb,1691,3011,,false,Duncan Ragborne,ab8355c2-d1c0-424f-9b6e-811fd75189ca,2019-10-06T19:37:34Z,8414,CAD,Granite,694a1d23-7dec-48ba-b611-7634dd9156b8,0a5b02ed-8cd1-45e8-88d9-64dd10fea426,0a5b02ed-8cd1-45e8-88d9-64dd10fea426,286707,Joint,8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,210553,Owner
65-3411-0345790-35,maestro,7687,3011,2022-09-12T18:50:18Z,true,Clarey Reucastle,486866bd-ad62-4c28-94fc-3355d74b1e68,2013-12-17T18:26:58Z,6156,CNY,Granite,6e183e9b-870c-4f65-a6ec-66acd8e051f2,3c571f18-1c68-4b1b-bca6-dad89176503f,3c571f18-1c68-4b1b-bca6-dad89176503f,604755,Joint,8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,8a8aac73-0ba9-4b7a-8f0e-04c01ee8332a,647259,Owner
79-5843-2150829-94,mastercard,689,3617,,true,Lorettalorna McCuaig,1073faa5-7c1b-4e9f-b612-2aa01628711b,2001-10-01T23:19:30Z,8608,VND,Stone,c280cfec-9801-45d6-a013-6ebef35d05a5,31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,831772,Owner,ec42541e-eefe-45f6-9a75-846cf0a4345f,ec42541e-eefe-45f6-9a75-846cf0a4345f,060659,Joint
41-9026-2856526-70,instapayment,6705,3427,2022-03-26T01:16:59Z,true,Cesare Gilburt,c69fbca9-7efe-4dca-83f2-92bbd4fcedfb,2001-03-05T16:14:44Z,551,CNY,Aluminum,9ccda042-643e-470c-9589-90172fd08616,68343e45-7f06-423d-8361-20f64d02c28c,68343e45-7f06-423d-8361-20f64d02c28c,274996,Owner,7120d842-7873-4b0c-ac61-951f6d47e6d9,7120d842-7873-4b0c-ac61-951f6d47e6d9,028101,Joint
82-1373-6845262-49,jcb,5065,3136,,true,Hettie Boxell,70a351b9-d5f8-4d0b-8c59-a7d5564a72cc,2014-11-22T19:57:37Z,8993,GTQ,Steel,d3a1e5e8-52ed-47d1-bf46-3c8238f90e86,68343e45-7f06-423d-8361-20f64d02c28c,68343e45-7f06-423d-8361-20f64d02c28c,361351,Owner,e961a84e-d446-47d1-9406-cc81090d61f8,e961a84e-d446-47d1-9406-cc81090d61f8,769958,Joint
26-5777-7818578-77,maestro,2480,3617,2022-04-07T07:25:33Z,false,Janaye Kedslie,230a7120-d3fa-479b-b41e-ba140ad0c636,2009-06-25T08:17:36Z,2659,CNY,Granite,612b81ab-ee65-4d22-8fb8-ec35d5acebd6,103c2634-2c06-4554-ab4b-45154c462453,103c2634-2c06-4554-ab4b-45154c462453,347502,Owner,ffc2b4ad-6f34-4867-a6a2-801bc8e61b90,ffc2b4ad-6f34-4867-a6a2-801bc8e61b90,967372,Joint
35-8922-1764324-14,switch,4250,3428,2022-10-11T07:29:35Z,true,Moise Gonsalvo,ea047163-0936-45d8-b2a9-eebb0a41d2af,2022-02-08T15:37:32Z,674,EUR,Plastic,620ac3ec-a97f-4d3b-b3b0-c9bdd97f7c0e,6374ea5f-129f-48a9-9fe4-e9871380a528,6374ea5f-129f-48a9-9fe4-e9871380a528,664864,Owner,fa97debd-09a0-47a3-a875-dc0e3fb6dd8a,fa97debd-09a0-47a3-a875-dc0e3fb6dd8a,739486,Joint
16-7665-7548768-48,visa-electron,1647,3436,,false,Sheridan Hawick,4827abe3-aaad-4b8e-9538-9939c8a0d567,2010-07-07T01:41:13Z,7127,CNY,Plastic,15881770-7202-4b14-83eb-22274170da61,6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,005610,Owner,8ba220b7-3175-4280-8ae3-e6bdecf8ba63,8ba220b7-3175-4280-8ae3-e6bdecf8ba63,130461,Joint
24-1448-6820646-42,mastercard,6766,3436,,true,Xylina Davet,14b45351-e618-42f1-8dc9-b6dff2bf0f7b,2017-12-30T06:38:57Z,7556,PKR,Vinyl,ad5494ca-b36d-4362-8793-82487ab14ff8,476f8c07-b92d-4204-8ad0-cf0c07350b12,476f8c07-b92d-4204-8ad0-cf0c07350b12,121121,Owner,bc616340-2818-4618-a921-44b94f77c404,bc616340-2818-4618-a921-44b94f77c404,103591,Joint
92-6395-6205733-69,mastercard,5073,3049,2022-05-18T03:03:17Z,false,Abdel Stocky,b102b68e-5854-4526-8657-3b33a2df727c,2019-06-16T23:39:05Z,6736,AZN,Brass,e8578129-004e-4fce-9937-bb37c3a18eb9,6fd57a47-dc2a-41ef-852b-7aa0ac0edd63,6fd57a47-dc2a-41ef-852b-7aa0ac0edd63,883992,Owner,a27178d0-bcd9-4446-8c0e-741a656636cb,a27178d0-bcd9-4446-8c0e-741a656636cb,375036,Joint
34-7164-8446072-17,jcb,1313,3059,2022-12-19T19:29:02Z,false,Franny Dyerson,fce6b133-13d0-40c0-a43d-6c9985b4137c,2014-04-25T15:57:11Z,9095,PEN,Steel,17355de0-077f-4a33-9bbf-c50ea961c574,04ea83e7-afde-45eb-8aec-f03a9373bfab,04ea83e7-afde-45eb-8aec-f03a9373bfab,447049,Owner,ac26af36-1f50-403a-baa3-c776dae4072a,ac26af36-1f50-403a-baa3-c776dae4072a,409665,Joint
70-1024-7233778-02,bankcard,9299,3428,2022-03-26T05:29:41Z,false,Rosabelle Calvard,c1111dfc-6589-4913-8a3b-403a94ced128,2000-11-30T09:47:19Z,2872,USD,Brass,bcc2cf48-28f6-4db8-acce-7e61b1479c89,33b4b555-a5fa-4c84-95d3-aa9777aa33d1,33b4b555-a5fa-4c84-95d3-aa9777aa33d1,256956,Owner,7d504f91-289e-4d5e-8b78-cf59d15e29eb,7d504f91-289e-4d5e-8b78-cf59d15e29eb,581516,Joint
82-1029-4179040-35,bankcard,6150,3428,2022-03-31T06:20:22Z,false,Arni Bootes,51518137-8fab-4ff9-b03f-68251eb4dd48,2005-12-29T02:56:20Z,4513,YER,Plastic,3041db3a-df0e-4ae0-80de-26023f927163,4a4190ca-962c-4073-9f38-ea4491a41476,4a4190ca-962c-4073-9f38-ea4491a41476,221674,Owner,5c314ef8-9204-4794-8019-403910632283,5c314ef8-9204-4794-8019-403910632283,471489,Joint
74-6571-6065486-69,jcb,323,3428,2022-04-04T11:48:13Z,true,Junette Ringham,07f44108-bff7-4a80-bef4-1d7412bd9300,2005-12-26T14:53:42Z,707,BRL,Glass,6845476e-19fc-4296-bc84-b0adc724d89b,a9303092-8e20-4020-87be-9eb322a2da74,a9303092-8e20-4020-87be-9eb322a2da74,250630,Joint,d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,623626,Owner
03-2779-4172836-02,jcb,4017,3427,2022-11-12T16:27:44Z,false,Teddy Widdecombe,087c7ebd-df45-43e8-9616-a2b21ad14147,2019-07-30T11:34:12Z,1161,CNY,Stone,d3885097-e4ee-4267-b42b-19a20b78d52f,31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,199505,Owner,825cb2b2-13b6-4693-8e48-ba440f12e780,825cb2b2-13b6-4693-8e48-ba440f12e780,072525,Joint
95-2710-2104824-04,visa-electron,642,3059,2022-05-01T18:41:24Z,false,Arnuad Keld,91e3d099-130f-49b8-adbb-b6a61222bd19,2015-01-12T03:56:17Z,8078,CAD,Wood,998fbc4c-d665-42c6-bc8a-d476c6193bee,25830267-dfa0-4a2b-a203-ce9cfba79473,25830267-dfa0-4a2b-a203-ce9cfba79473,339744,Joint,ad24590b-eaf7-43f4-937b-66fb742258fc,ad24590b-eaf7-43f4-937b-66fb742258fc,361877,Owner
88-1670-6284772-31,jcb,5794,3059,2022-03-25T16:38:06Z,false,Darrel Dougill,dee45675-8fd4-48dd-92a4-fb6413e67f1b,2002-03-07T16:23:57Z,5285,CNY,Granite,7068fdfe-b29e-49d8-90f4-b4cded987108,3feec214-0d37-4e82-84ea-f864d350eaab,3feec214-0d37-4e82-84ea-f864d350eaab,228436,Owner,7e4022e2-6afe-4643-a4dc-db291089ae8e,7e4022e2-6afe-4643-a4dc-db291089ae8e,766654,Joint
07-9283-2909956-39,jcb,7052,3011,,true,Brinn Brekonridge,70352962-2d09-4e35-a6af-592845aa5c71,2014-06-12T20:09:39Z,5340,ARS,Wood,614e36b6-fdfa-4dcc-94c1-f7bed46b7469,2bf74e3a-f29c-4f46-a27a-1b5dbbd7b57b,2bf74e3a-f29c-4f46-a27a-1b5dbbd7b57b,455359,Owner,b27f9cd6-43d5-444e-aacb-e065b243eb74,b27f9cd6-43d5-444e-aacb-e065b243eb74,135453,Joint
62-7753-5900463-83,jcb,9911,3049,,true,Elva Capener,8356c792-ad76-4b52-8d90-f7e7448b4531,2004-09-21T08:11:46Z,6793,HRK,Granite,34439936-f188-49fa-9393-e0fbd67b686e,9da8207e-2455-4c7c-adfb-2c4894fa9f6f,9da8207e-2455-4c7c-adfb-2c4894fa9f6f,286979,Joint,d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,784727,Owner
68-8868-6872204-34,maestro,1172,3035,,false,Trevor Cromack,442e0429-52b9-4244-ae87-0a9909ca0999,2020-05-03T19:25:01Z,8195,BRL,Granite,9723c578-f701-400a-a0fc-2a5bb7727cd4,103c2634-2c06-4554-ab4b-45154c462453,103c2634-2c06-4554-ab4b-45154c462453,355172,Owner,a51a81fd-5355-4b2e-b4cf-ab86b2426058,a51a81fd-5355-4b2e-b4cf-ab86b2426058,385261,Joint
78-5411-9803719-43,visa-electron,9921,3428,,true,Susann Duckering,0fea8f91-114d-4f7b-8903-17ddffacf022,2002-10-03T16:38:31Z,7194,IDR,Plexiglass,968f758c-6a4e-4a85-a6ce-b440a755dc93,39ece70c-7d5f-4e01-9d5f-397a58824409,39ece70c-7d5f-4e01-9d5f-397a58824409,612759,Joint,6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,916628,Owner
14-7416-6475226-20,bankcard,7695,3049,2022-07-21T13:52:41Z,true,Heddi Toquet,f31360b5-0a0a-4f7b-aa72-7b9a9b17830e,2012-11-05T05:14:42Z,2641,CNY,Plastic,ba4179c7-21fc-4f1f-8838-3f43d6833824,57e7074b-75e1-415f-b4c3-f9ebaa795f27,57e7074b-75e1-415f-b4c3-f9ebaa795f27,297707,Owner,e9fef369-df48-4c5c-97c8-8715814857b2,e9fef369-df48-4c5c-97c8-8715814857b2,041873,Joint
57-5948-6277862-68,diners-club-carte-blanche,5990,3011,2022-08-17T22:22:22Z,true,Valina Maxwell,c2bd768d-1f54-47db-bec2-b8f9c2982fc0,2007-01-11T20:11:26Z,1225,JPY,Glass,89b676ab-1cce-470e-b844-79a52bcc0797,ad24590b-eaf7-43f4-937b-66fb742258fc,ad24590b-eaf7-43f4-937b-66fb742258fc,851842,Owner,bbd2017b-e690-45d2-80e3-713e8340e167,bbd2017b-e690-45d2-80e3-713e8340e167,415398,Joint
54-1950-5822623-57,jcb,277,3049,,true,Jerrine Leathard,cdaf52ff-c0b0-44ab-904d-c275c110d3dd,2016-03-05T23:56:06Z,3515,EUR,Plexiglass,6e98f832-f26d-4383-a8f8-9d8f5c062277,33b4b555-a5fa-4c84-95d3-aa9777aa33d1,33b4b555-a5fa-4c84-95d3-aa9777aa33d1,349001,Owner,8645d654-a15e-44dc-b0b9-f8a456b92c58,8645d654-a15e-44dc-b0b9-f8a456b92c58,354568,Joint
22-1673-6510037-50,jcb,1554,3011,2022-11-02T16:15:28Z,false,Jacqueline Gouth,484bc86f-c861-46c8-89dd-beaa103a6588,2011-11-18T10:26:58Z,606,ARS,Vinyl,9425dfc1-a807-44f8-a527-feef346c7d81,65ef7768-3acc-4a23-bc86-5016987d935e,65ef7768-3acc-4a23-bc86-5016987d935e,000183,Owner,c66872b4-6839-47d8-b372-38fd5df5fa35,c66872b4-6839-47d8-b372-38fd5df5fa35,865988,Joint
31-4715-4356833-83,diners-club-enroute,9332,3011,2022-06-20T00:24:32Z,true,Padraig Knevett,6b81d37a-5eab-40a2-8acf-5ebc4cca3999,2016-01-02T16:41:37Z,9147,UAH,Glass,0be22c74-8fa4-467d-b695-a5754e17c8ce,33d7cdd0-80d4-4631-80c2-7392dc487309,33d7cdd0-80d4-4631-80c2-7392dc487309,018840,Joint,d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,d5fdea10-a2a0-4de5-b90d-6a2864d5f5bc,108644,Owner
52-5267-0203424-71,jcb,6749,3617,,true,Giordano Kynforth,f06d8416-ced2-44ea-893f-154cb9ff9bd7,2016-04-10T15:30:54Z,4133,IQD,Steel,3b3600e0-c6dc-4d18-a923-84d1189ee377,7f9b3e7a-8f16-45d4-976b-ddd517ced4d2,7f9b3e7a-8f16-45d4-976b-ddd517ced4d2,951763,Joint,ad24590b-eaf7-43f4-937b-66fb742258fc,ad24590b-eaf7-43f4-937b-66fb742258fc,667628,Owner
